"","#1 Respiratory Letzte (V)","#2 Breast L Letzte (V)","#3 Breast R Letzte (V)","#4 Stomach L Letzte (V)","#5 Stomach R Letzte (V)","#6 Navel Letzte (V)","#7 Outside L Letzte (V)","#8 Outside R Letzte (V)","#9 Arm L Letzte (V)","#10 Arm R Letzte (V)","#11 FC Sash L Letzte (V)","#12 FC Sash R Letzte (V)","#13 Zero Adjust Letzte (V)","#16 Movement Letzte (V)"
"00:00:00","0,138","0,125","0,093","0,001","0,182","0,280","0,040","0,064","0,054","0,036","0,297","0,294","0,896","2,338"
"00:00:01","0,138","0,125","0,092","0","0,179","0,279","0,034","0,058","0,048","0,031","0,297","0,293","0,896","2,338"
"00:00:02","0,139","0,125","0,092","0","0,175","0,277","0,028","0,052","0,044","0,025","0,297","0,292","0,896","2,335"
"00:00:03","0,140","0,124","0,092","0","0,172","0,276","0,023","0,049","0,042","0,020","0,298","0,291","0,896","2,295"
"00:00:04","0,141","0,120","0,093","0","0,169","0,275","0,019","0,045","0,039","0,016","0,297","0,291","0,896","2,314"
"00:00:05","0,141","0,118","0,092","0","0,165","0,273","0,016","0,042","0,036","0,012","0,297","0,291","0,896","2,382"
"00:00:06","0,141","0,116","0,088","0","0,160","0,271","0,014","0,037","0,033","0,008","0,298","0,292","0,896","2,374"
"00:00:07","0,141","0,113","0,085","0","0,160","0,271","0,011","0,033","0,027","0,005","0,298","0,292","0,896","2,339"
"00:00:08","0,142","0,110","0,084","0","0,164","0,271","0,008","0,031","0,019","0,002","0,298","0,292","0,896","2,339"
"00:00:09","0,141","0,106","0,083","0","0,165","0,271","0,004","0,030","0,013","0,001","0,298","0,293","0,896","2,339"
"00:00:10","0,141","0,101","0,083","0","0,165","0,272","0,002","0,031","0,011","0,000","0,298","0,293","0,896","2,339"
"00:00:11","0,141","0,098","0,084","0","0,166","0,272","0,002","0,031","0,012","0,002","0,298","0,293","0,896","2,338"
"00:00:12","0,140","0,096","0,085","0","0,167","0,272","0,002","0,032","0,011","0,004","0,298","0,293","0,896","2,338"
"00:00:13","0,140","0,093","0,085","0","0,168","0,272","0,003","0,031","0,011","0,002","0,298","0,293","0,896","2,338"
"00:00:14","0,140","0,092","0,084","0","0,168","0,273","0,002","0,031","0,013","0,000","0,298","0,293","0,896","2,338"
"00:00:15","0,139","0,092","0,083","0","0,166","0,274","0,001","0,031","0,014","0","0,297","0,294","0,896","2,338"
"00:00:16","0,138","0,092","0,083","0","0,164","0,274","0,003","0,031","0,016","0","0,296","0,293","0,896","2,338"
"00:00:17","0,136","0,092","0,083","0,000","0,163","0,275","0,004","0,031","0,018","0","0,296","0,293","0,896","2,338"
"00:00:18","0,136","0,093","0,083","0,002","0,162","0,276","0,004","0,031","0,019","0","0,294","0,293","0,896","2,338"
"00:00:19","0,135","0,097","0,082","0,004","0,159","0,276","0,005","0,030","0,020","0","0,293","0,292","0,896","2,338"
"00:00:20","0,135","0,101","0,082","0,005","0,156","0,277","0,005","0,029","0,021","0","0,291","0,291","0,896","2,339"
"00:00:21","0,135","0,105","0,082","0,006","0,154","0,277","0,000","0,027","0,023","0","0,290","0,290","0,896","2,338"
"00:00:22","0,136","0,109","0,083","0,006","0,153","0,278","0","0,026","0,024","0","0,288","0,290","0,896","2,338"
"00:00:23","0,135","0,112","0,085","0,005","0,152","0,278","0","0,025","0,026","0","0,286","0,289","0,896","2,338"
"00:00:24","0,133","0,114","0,085","0,006","0,152","0,277","0","0,024","0,030","0","0,284","0,289","0,896","2,338"
"00:00:25","0,131","0,116","0,086","0,006","0,150","0,276","0","0,025","0,034","0","0,282","0,288","0,896","2,338"
"00:00:26","0,130","0,118","0,085","0,004","0,149","0,274","0","0,026","0,037","0","0,280","0,288","0,896","2,338"
"00:00:27","0,128","0,118","0,086","0,003","0,147","0,273","0","0,027","0,040","0","0,280","0,288","0,896","2,338"
"00:00:28","0,128","0,117","0,087","0,003","0,146","0,272","0","0,028","0,043","0","0,279","0,287","0,896","2,338"
"00:00:29","0,128","0,115","0,088","0,004","0,145","0,271","0","0,028","0,045","0","0,278","0,285","0,896","2,338"
"00:00:30","0,127","0,113","0,089","0,006","0,144","0,270","0,002","0,027","0,048","0","0,278","0,283","0,896","2,338"
"00:00:31","0,127","0,114","0,090","0,007","0,143","0,270","0,006","0,026","0,050","0","0,277","0,280","0,896","2,338"
"00:00:32","0,127","0,115","0,090","0,010","0,142","0,271","0,008","0,026","0,052","0","0,277","0,277","0,896","2,338"
"00:00:33","0,129","0,117","0,090","0,012","0,141","0,271","0,011","0,025","0,053","0","0,276","0,274","0,896","2,338"
"00:00:34","0,130","0,118","0,091","0,013","0,140","0,272","0,014","0,026","0,055","0","0,275","0,272","0,896","2,338"
"00:00:35","0,132","0,120","0,091","0,013","0,138","0,271","0,017","0,026","0,056","0","0,273","0,270","0,896","2,338"
"00:00:36","0,133","0,121","0,092","0,012","0,136","0,270","0,018","0,026","0,057","0","0,272","0,269","0,896","2,338"
"00:00:37","0,133","0,120","0,093","0,011","0,133","0,269","0,017","0,026","0,057","0","0,272","0,267","0,896","2,338"
"00:00:38","0,132","0,119","0,093","0,010","0,129","0,266","0,017","0,028","0,058","0","0,272","0,266","0,896","2,338"
"00:00:39","0,130","0,118","0,092","0,009","0,126","0,263","0,017","0,031","0,058","0","0,272","0,265","0,896","2,338"
"00:00:40","0,127","0,116","0,093","0,006","0,121","0,259","0,017","0,033","0,058","0","0,272","0,264","0,896","2,338"
"00:00:41","0,125","0,114","0,092","0,003","0,118","0,255","0,014","0,035","0,058","0","0,272","0,263","0,896","2,338"
"00:00:42","0,122","0,111","0,091","0,001","0,114","0,252","0,012","0,036","0,059","0","0,271","0,262","0,896","2,338"
"00:00:43","0,120","0,109","0,089","0,001","0,110","0,246","0,011","0,038","0,059","0","0,271","0,261","0,896","2,338"
"00:00:44","0,119","0,107","0,089","0,002","0,106","0,241","0,010","0,040","0,060","0","0,271","0,259","0,896","2,338"
"00:00:45","0,120","0,106","0,090","0,003","0,102","0,237","0,009","0,041","0,060","0","0,271","0,258","0,896","2,338"
"00:00:46","0,120","0,106","0,089","0,004","0,099","0,234","0,010","0,042","0,059","0","0,271","0,257","0,896","2,338"
"00:00:47","0,121","0,107","0,087","0,004","0,097","0,228","0,011","0,042","0,058","0","0,271","0,256","0,896","2,338"
"00:00:48","0,120","0,107","0,087","0,003","0,095","0,223","0,013","0,041","0,056","0","0,271","0,255","0,896","2,338"
"00:00:49","0,120","0,106","0,087","0,002","0,094","0,218","0,016","0,040","0,055","0","0,272","0,254","0,896","2,338"
"00:00:50","0,120","0,105","0,086","0,001","0,094","0,212","0,019","0,039","0,056","0","0,272","0,253","0,896","2,338"
"00:00:51","0,119","0,102","0,085","0,001","0,094","0,208","0,019","0,040","0,056","0","0,273","0,252","0,895","2,338"
"00:00:52","0,117","0,100","0,084","0,001","0,093","0,204","0,021","0,040","0,056","0","0,273","0,251","0,896","2,333"
"00:00:53","0,117","0,100","0,083","0,002","0,094","0,201","0,023","0,039","0,059","0","0,273","0,251","0,896","2,268"
"00:00:54","0,116","0,099","0,081","0,004","0,094","0,199","0,023","0,037","0,061","0","0,274","0,251","0,896","2,273"
"00:00:55","0,116","0,099","0,078","0,004","0,092","0,196","0,024","0,037","0,062","0","0,274","0,251","0,896","2,409"
"00:00:56","0,116","0,095","0,073","0","0,090","0,191","0,025","0,037","0,062","0","0,274","0,251","0,896","2,409"
"00:00:57","0,115","0,092","0,069","0","0,091","0,187","0,023","0,038","0,059","0","0,274","0,252","0,896","2,339"
"00:00:58","0,114","0,090","0,067","0","0,093","0,182","0,021","0,038","0,056","0","0,274","0,252","0,895","2,339"
"00:00:59","0,113","0,088","0,066","0","0,093","0,178","0,020","0,036","0,054","0","0,275","0,253","0,896","2,339"
"00:01:00","0,112","0,085","0,064","0","0,092","0,173","0,019","0,035","0,052","0","0,275","0,272","0,896","2,339"
"00:01:01","0,111","0,082","0,062","0","0,088","0,169","0,020","0,032","0,050","0","0,275","0,464","0,896","2,338"
"00:01:02","0,110","0,079","0,059","0","0,085","0,165","0,019","0,029","0,050","0","0,275","0,852","0,896","2,338"
"00:01:03","0,108","0,076","0,057","0","0,082","0,160","0,019","0,027","0,049","0","0,274","1,398","0,897","2,338"
"00:01:04","0,107","0,072","0,055","0","0,079","0,156","0,021","0,025","0,049","0","0,274","1,738","0,897","2,338"
"00:01:05","0,106","0,069","0,052","0","0,077","0,152","0,022","0,023","0,048","0","0,274","1,856","0,897","2,338"
"00:01:06","0,106","0,066","0,050","0","0,076","0,149","0,021","0,020","0,047","0","0,275","1,855","0,897","2,338"
"00:01:07","0,106","0,065","0,049","0","0,076","0,147","0,020","0,018","0,045","0","0,275","1,798","0,897","2,338"
"00:01:08","0,105","0,064","0,047","0","0,075","0,145","0,018","0,017","0,044","0","0,275","1,715","0,897","2,338"
"00:01:09","0,105","0,065","0,045","0","0,077","0,142","0,017","0,017","0,042","0","0,279","1,624","0,897","2,338"
"00:01:10","0,104","0,068","0,045","0","0,078","0,142","0,016","0,017","0,040","0","0,288","1,533","0,897","2,338"
"00:01:11","0,103","0,068","0,045","0","0,079","0,140","0,017","0,017","0,039","0","0,298","1,448","0,897","2,338"
"00:01:12","0,103","0,067","0,046","0","0,080","0,140","0,015","0,014","0,037","0","0,323","1,376","0,896","2,338"
"00:01:13","0,102","0,067","0,047","0","0,080","0,141","0,011","0,010","0,035","0","0,382","1,327","0,897","2,338"
"00:01:14","0,102","0,067","0,048","0","0,080","0,139","0,006","0,006","0,034","0","0,494","1,315","0,897","2,338"
"00:01:15","0,102","0,068","0,049","0","0,081","0,138","0,003","0,003","0,032","0","0,646","1,354","0,897","2,338"
"00:01:16","0,103","0,070","0,049","0","0,081","0,136","0,002","0,002","0,031","0","0,794","1,437","0,897","2,338"
"00:01:17","0,103","0,072","0,048","0","0,081","0,133","0,002","0,000","0,030","0","0,902","1,520","0,897","2,338"
"00:01:18","0,102","0,072","0,047","0","0,081","0,131","0,003","0","0,029","0","0,971","1,603","0,897","2,338"
"00:01:19","0,100","0,073","0,044","0","0,079","0,131","0,005","0","0,028","0","1,010","1,661","0,897","2,338"
"00:01:20","0,099","0,073","0,042","0","0,078","0,130","0,006","0,000","0,027","0","1,032","1,693","0,897","2,338"
"00:01:21","0,097","0,074","0,040","0","0,075","0,130","0,007","0,001","0,027","0","1,058","1,701","0,897","2,338"
"00:01:22","0,095","0,073","0,037","0","0,072","0,128","0,008","0,002","0,027","0","1,110","1,696","0,897","2,338"
"00:01:23","0,094","0,071","0,034","0","0,069","0,127","0,009","0,003","0,027","0","1,168","1,698","0,897","2,338"
